job_id,title,company,salary,description_preview,is_hot_job,link
6512902,Аналітик-дешифрувальник розвідданих з БПЛА,6 центр рекрутингу Сил безпілотних систем,28 000 – 128 000 грн,"Повна зайнятість. Також готові взяти студента.
                            Наша мета — високоточне знищення ворога з повітря, з мінімальними ризиками для особового складу. Ми формуємось як високопрофесійний рід військ, у якому кожен знає свою роль, працює з технологіями майбутнього та…",False,https://www.work.ua/jobs/6512902/
7691905,Бізнес-аналітик (CRM Creatio),CRM Genesis,30 000 – 50 000 грн,"Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 1 року. Вища освіта.
                            Ми — команда, що спеціалізується на автоматизації бізнес-процесів і створенні CRM — рішень на базі Creatio (Terrasoft). Наш фокус — робити процеси клієнтів зрозумілими, прозорими та керованими. Наші клієнти — компанії…",False,https://www.work.ua/jobs/7691905/
6769153,Фахівець з підтримки облікових систем,WOG,,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Запрошуємо у свою команду Фахівця з підтримки облікових систем (BAS)!  Ти — наша людина, якщо:   маєш досвід роботи з обліковими системами (BAS, 1С або іншими);   розумієш принципи роботи облікових та управлінських…",False,https://www.work.ua/jobs/6769153/
7696788,Marketing and Growth Analyst,Glovo,,"Повна зайнятість. Досвід роботи від 2 років.
                            If you’re here, it’s because you’re looking for an exciting ride. A ride that will fuel up your ambitions to take on a new challenge and stretch yourself beyond your comfort zone. We’ll deliver a non-vanilla culture…",False,https://www.work.ua/jobs/7696788/
7615867,Аналітик,"КООП Торг Сервіс, ООО",,"Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.
                            ТОВ «КООП ТОРГ СЕРВІС» входить до складу Групи Компаній АФІНА, спеціалізується на обслуговуванні магазинів, що входять до складу Укоопспілки, торгова мережа якого налічує більше 10 тисяч магазинів Ми запрошуємо…",False,https://www.work.ua/jobs/7615867/
7720512,"Головний економіст-аналітик (AML, управління фінансового моніторингу)","Банк інвестицій та заощаджень, АТ",,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Головний економіст-аналітик (AML)Відділ моніторингу та аналізу операцій, Управління фінансового моніторингу, Департамент фінансового та валютного моніторингу Про банкБАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ (BISBANK) — сучасний…",False,https://www.work.ua/jobs/7720512/
7545127,Аналітик з кредитного аналізу,Sense Bank,,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Sense Bank — це державний банк з 30 роками історії. За цей час ми стали не просто місцем для роботи, а спільнотою з 4000 людей, де кожен присвячений місії — створювати сенси, щоб здійснювались мрії українців. Шукаємо…",False,https://www.work.ua/jobs/7545127/
7802064,Business Analyst,Promodo,,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Promodo — маркетингова агенція повного циклу, заснована у 2004 в Україні. В штаті працює понад 450 фахівців у 5 представництвах по всьому світу (Україна, США, Велика Британія, Естонія, Казахстан). П’ятий рік поспіль…",False,https://www.work.ua/jobs/7802064/
7690780,Молодший фінансовий аналітик (стажер),1+1 media,,"Неповна зайнятість. Також готові взяти студента.
                            Медіаіндустрія змінюється з кожним днем, і ми — одні з лідерів цих змін. Отримуйте унікальний досвід стажування у компанії професіоналів, які встановлюють стандарти галузі й творять майбутнє медіа в Україні.  1+1…",False,https://www.work.ua/jobs/7690780/
7014574,"Data Analyst (QA, аналітика даних та контроль якості), військовослужбовець",Військова частина А4862,50 000 – 125 000 грн,"Повна зайнятість. Досвід роботи від 2 років.
                            Основні обов’язки:   Аналіз, звірка та обробка звітних даних з різних джерел (інформаційні системи, файли, API тощо);   Перевірка коректності даних у системі: наповнення, узгодженість, актуальність;   Написання…",False,https://www.work.ua/jobs/7014574/
7340410,Аналітик продаж,Київстар,,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Київстар — лідер телеком-ринку України, який постійно розвиває аналітичні рішення для підтримки ефективності бізнесу. Ми шукаємо аналітика з продажів, який допоможе перетворювати дані на дієві інсайти, автоматизовувати…",False,https://www.work.ua/jobs/7340410/
7801947,Молодший аналітик,IDS Ukraine,,"Повна зайнятість.
                            IDS Ukraine -лідер українського ринку мінеральних вод у всіх категоріях. Компанія має збалансований портфель популярних мінеральних вод, які видобуваються в екологічно чистих регіонах України та представлені на ринку…",False,https://www.work.ua/jobs/7801947/
7801755,Marketing Data Analyst (SQL),"Є гроші, фінансова компанія, ТОВ",30 000 – 35 000 грн,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Основні задачі:   Аналітика маркетингового трафіку (Google Ads, Facebook Ads, інші канали) — побудова воронки від кліку до кредиту.   Аналіз первинних і повторних кредитів: когортний аналіз, відстеження конверсій…",False,https://www.work.ua/jobs/7801755/
7595941,Zoho Implementation Business Analyst (Hands-on Builder),PalmCraft Cabinets,40 000 – 80 000 грн,"Повна зайнятість, неповна зайнятість. Також готові взяти студента. Досвід роботи від 2 років.
                            We’re a consulting team delivering end-to-end Zoho operating systems for multiple clients. We’re hiring a business-first Zoho Implementation Business Analyst who can lead discovery and then build the solution using…",False,https://www.work.ua/jobs/7595941/
7293988,Асистент маркетолога,Nadel,18 000 – 22 000 грн,"Повна зайнятість. Досвід роботи від 1 року.
                            Що ти будеш робити:   Підтримувати маркетинговий відділ у реалізації рекламних кампаній та промоакцій.   Допомагати в підготовці контенту для соціальних мереж та інших каналів комунікації.   Збирати та аналізувати…",False,https://www.work.ua/jobs/7293988/
7745301,Аналітик,Akora consult,30 000 грн,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Akora Consult розвиває міжнародні проєкти у сфері бізнес-консалтингу, фінансів та операційного управління. У зв’язку з розширенням напряму роздрібної торгівлі ми шукаємо аналітика з досвідом роботи в retail-сфері,…",False,https://www.work.ua/jobs/7745301/
7774806,Аналітик (CRM Creatio),YEDNIST’ GROUP,40 000 – 50 000 грн,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Фірма Триплекс понад 31 рік є лідером з продажу товарів для домашніх тварин та входить до складу торгово-виробничої компанії YEDNIST' GROUP. Факти про нас:   Ми є представниками багатьох світових брендів, AnimAll,…",False,https://www.work.ua/jobs/7774806/
4562438,Економіст з кредитування (управління кредитних операцій),Полтава Банк,,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            АТ «Полтава-банк»запрошує на роботу економістів в Управління кредитних операцій (Головний офіс) АТ «Полтава-банк» Ми пропонуємо:   Офіційне працевлаштування;   Стабільну заробітну плату 2 рази на місяць;   П’ятиденний…",False,https://www.work.ua/jobs/4562438/
7773639,Маркетолог-аналітик,AVDtrade,,"Повна зайнятість. Досвід роботи від 2 років.
                            AVDtrade — українська компанія з понад 14-річним досвідом у сфері постачання європейських автозапчастин для легкового та комерційного транспорту. Ми співпрацюємо з 60+ провідними європейськими брендами, маємо представництва…",False,https://www.work.ua/jobs/7773639/
7743516,"Бізнес-аналітик (IT, Middle)","DiFFreight, LLC",,"Повна зайнятість. Досвід роботи від 2 років.
                            Привіт! DiFFreight — міжнародна логістична компанія в пошуках Бізнес Аналітика. Ми займаємося міжнародними перевезеннями по напрямку Китай Україна, Україна — Америка, Україна — Європа. У зв’язку з розширенням нашого…",False,https://www.work.ua/jobs/7743516/
7743381,Аналітик товарних запасів,ProSteer Group,,"Повна зайнятість. Досвід роботи від 2 років.
                              Вимоги   Досвід роботи в торгівлі, виробництві або дистрибуції з товарними запасами    Розуміння принципів і методів аналізу продажів, залишків та їх розподілення    Обов’язки   Аналіз залишків системи віддалених…",False,https://www.work.ua/jobs/7743381/
7009699,"Діловод відділу обліку, списання, комплектування, аналітики БПЛА",Військова частина А4862,50 000 – 125 000 грн,"Повна зайнятість. Досвід роботи від 2 років.
                            425 окремий полк «СКАЛА» пропонує службу у складі ефективного та сучасного військового підрозділу з якісним навчанням, підготовкою, та можливістю професійного зростання і реалізації свого потенціалу у сфері управління…",False,https://www.work.ua/jobs/7009699/
7484653,HR-аналітик,ДТЕК,,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            YASNO — бренд енергопостачальних компаній України, що забезпечують електроенергією, газом та енергоефективними рішеннями 3,3 млн сімей і понад 90 тис бізнесів. Ми бачимо український енергоринок як активного учасника,…",False,https://www.work.ua/jobs/7484653/
7641865,Business analyst,Перший Український Міжнародний Банк (ПУМБ),,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            ПУМБ — місце, де ідеї перетворюються на результатиМи поєднуємо інновації, командну роботу та високі стандарти обслуговування клієнтів. Кожен день ми прагнемо вдосконалювати продукти та процеси, підтримуємо професійний…",False,https://www.work.ua/jobs/7641865/
7801086,Head of CRM,"Нова пошта, ТОВ",,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Нова пошта — лідер експрес-доставки в Україні. Ми у пошуку керівника в управління розвитку клієнтів. Ми пропонуємо:   офіційне працевлаштування, «білу» заробітну плату, оплачувані відпустки та лікарняні;   медичне…",False,https://www.work.ua/jobs/7801086/
7691209,Аналітик кредитних ризиків,NovaPay,,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            NovaPay — міжнародний фінансовий сервіс, що входить в ГК NOVA.  Ми створюємо сучасні платіжні рішення для бізнесу та мільйонів користувачів. Розвиваємо власну платіжну систему, мобільний застосунок і пропонуємо…",False,https://www.work.ua/jobs/7691209/
7774056,Аналітик,Будинок іграшок,,"Повна зайнятість. Досвід роботи від 1 року.
                            Будинок іграшок — найбільша мережа магазинів іграшок в Україні з історією понад 27 років. Ми щодня даруємо радість дітям і натхнення дорослим, створюючи атмосферу, в якій хочеться посміхатися. Зараз ми шукаємо Провідного…",False,https://www.work.ua/jobs/7774056/
7710456,Бізнес-аналітик (International Delivery Unit МОУ),Офіс ефективного регулювання (BRDO),,"Повна зайнятість. Досвід роботи від 2 років.
                            Посада передбачає роботу на Офіс підтримки інвестицій Міністерства оборони України в реалізації міжнародної співпраці з країнами-партнерами України. Наша головна мета — збільшення інвестицій в ОПК. Наша ключова…",False,https://www.work.ua/jobs/7710456/
7771260,"Аналітик з комп'ютерних систем (Service Desk, IT Support L1)","Укролія, ТОВ",,"Повна зайнятість. Також готові взяти студента, людину з інвалідністю. Досвід роботи від 1 року. Вища освіта.
                            Компанія UKROLIYA та запрошує в свою командуАналітика з комп’ютерних систем (Service Desk / IT Support L1)  Вимоги:   Базові знання Windows та Microsoft Office.   Досвід роботи з IT-підтримкою або офіс-адмініструванням —…",False,https://www.work.ua/jobs/7771260/
6031200,Аналітик,24 ОМБр імені короля Данила,50 000 – 120 000 грн,"Повна зайнятість.
                            24 ОМБр — військове з‘єднання механізованих військ у складі Сухопутних військ Збройних Сил України. Від початку російської агресії у 2014 році частини бригади були залучені на багатьох напрямках війни на сході.…",False,https://www.work.ua/jobs/6031200/
7800591,"Content Manager, Data Entry Specialist (e-commerce)","Plexsupply, Inc",22 000 – 30 000 грн,"Повна зайнятість. Досвід роботи від 2 років.
                            Опис вакансіїМи, американська e-commerce компанія Plexsupply, Inc., що входить до топ-200 найбільших продавців на Amazon, шукаємо Content Manager / Data Entry Specialist (e-commerce) для роботи з товарним контентом,…",False,https://www.work.ua/jobs/7800591/
7693605,Менеджер з маркетингу,Snack Production,,"Повна зайнятість. Також готові взяти студента. Незакінчена вища освіта.
                            Національна виробничо-дистриб'юторська компанія «Snack Production» — визнаний лідер з 30-річною історією на ринку снекової продукції з відомими брендами «Сан Санич», «Flint», «Морські», «Big Bob», «Chipster's»,…",False,https://www.work.ua/jobs/7693605/
7720620,Google-аналітик (Web Analytics),Iwis,,"Неповна зайнятість. Досвід роботи від 1 року.
                            Привіт, наш майбутній Web-аналітик (Google Analytics) на погодинну зайнятість 40−60 годин на місяць. Наша компанія IWIS шукає людину, яка допоможе нам оптимізувати роботу веб сайтів та спростить роботу нашим клієнтам…",False,https://www.work.ua/jobs/7720620/
7800444,Головний спеціаліст (кредитне адміністрування) в міжнародний банк,"Правекс Банк, АТ",,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            АТ «ПРАВЕКС БАНК» — частина банківської групи Інтеза Санпаоло (Intesa Sanpaolo), однієї з провідних банківських груп Єврозони і лідера в усіх сферах бізнесу в Італії,  Запрошує на посаду — Головний спеціаліст (кредитне…",False,https://www.work.ua/jobs/7800444/
7797894,Помічник з аналітики та координації продажів,UBP Ukraine,25 000 – 35 000 грн,"Повна зайнятість.
                            Про компаніюUBP Ukraine — українська компанія, що працює у сфері міжнародної торгівлі та постачання металопродукції. Ми організовуємо повний цикл поставок — від виробника до клієнта: закупівлю, логістику та постачання…",False,https://www.work.ua/jobs/7797894/
7716846,Investment analyst,"Key People, HR Agency",,"Повна зайнятість. Досвід роботи від 5 років. Вища освіта.
                            Наш клієнт — інвестиційно-девелоперська група, що працює на стику нерухомості, private credit та структурованих угод. У зв’язку з розвитком інвестиційної функції компанія шукає Investment Analyst, який відповідатиме…",False,https://www.work.ua/jobs/7716846/
7329595,Data analyst (портфельний аналіз),Ощадбанк,,"Повна зайнятість.
                            МІЙ БАНК — МОЯ ОПОРА. Опора мільйонів українців, хто відтепер каже «МОЄ». МОЇ ЛЮДИ. МОЯ СПРАВА. МОЯ СВОБОДА. ОЩАДБАНК запрошує до команди Data analyst (портфельний аналіз) Ключові завдання:   Здійснення моніторингу,…",False,https://www.work.ua/jobs/7329595/
7757403,Методолог-аналітик фінансового обліку,Rozetka,,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            ROZETKA — найбільший онлайн-продавець в Україні. Ми втілюємо мрії мільйонів людей і завжди шукаємо тих, хто допоможе нам стати кращими. Як працюється в ROZETKA? Відверта книга про компанію, її команду та цінності…",False,https://www.work.ua/jobs/7757403/
7690738,Провідний аналітик (фінансове моделювання),Dok.ua,,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            dok.ua — лідер онлайн-ринку автозапчастин.  Зростаємо, допомагаємо ЗСУ, віримо в Україну та хочемо розвивати український продукт з найкращими фахівцями. Основні наші бізнес-підрозділи орієнтовані на data-driven…",False,https://www.work.ua/jobs/7690738/
7399837,Маркетинг-аналітик (нерухомість),"HR Team, HR-агенція",,"Повна зайнятість. Досвід роботи від 2 років.
                            Ми — девелоперська компанія, яка створює сучасні проєкти в сегментах житлової нерухомості. Шукаємо аналітика в маркетинговий відділ, який працюватиме з даними та формуватиме на їх основі корисні висновки для стратегії…",False,https://www.work.ua/jobs/7399837/
7605076,Аналітик (агронапрямок),"Астарта-Київ, ТОВ",,"Повна зайнятість. Досвід роботи від 2 років.
                            «Астарта-Київ» — один з найбільших публічних вертикально інтегрованих агроіндустріальних холдингів в Україні, заснований у 1993 році. З 2006 року акції компанії розміщені на Варшавській фондовій біржі. Наша компанія…",False,https://www.work.ua/jobs/7605076/
7744320,BA/Project Coordinator (бізнес аналітик/координатор проєктів) у Київ,Delta Medical,,"Повна зайнятість. Досвід роботи від 2 років.
                            Ми шукаємо бізнес-аналітика і координатора проєктів команії замовника, який поєднає виявлення та аналіз бізнес-вимог із організацією роботи команди. Професіонала, що діятиме як міст між замовником (нами) та підрядником…",False,https://www.work.ua/jobs/7744320/
7533661,Фінансовий директор,Техно Їжак,,"Повна зайнятість. Досвід роботи від 5 років.
                            Фінансовий директор у Їжак Ми — динамічна компанія, що працює у кількох напрямах: роздрібна торгівля через власну мережу магазинів, інтернет-торгівля на власному сайті та маркетплейсах. Шукаємо Фінансового директора…",False,https://www.work.ua/jobs/7533661/
7493521,Системний аналітик (BAF),"Омега, ТОВ",,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Компанія «Омега» — національний дистриб’тор автокомпонентів, з 35-річним досвідом успішної роботи на ринку автобізнесу і визнання на міжнародному рівні. Ми шукаємо системного аналітика BAF до нашої команди. Якщо…",False,https://www.work.ua/jobs/7493521/
7744785,Web Analyst Assistant,Halo Lab,,"Повна зайнятість. Досвід роботи від 1 року.
                            Привіт! Мене звати Андрій і я — керівник SEO відділу в компанії Halo Lab. У нас одна з найкрутіших дизайн команд в Україні і цей факт підкріплений нашими роботами, нагородами та популярністю у світовій спільноті…",False,https://www.work.ua/jobs/7744785/
7799343,"Аналітик департаменту дистанційного сервісу, Data Analyst",Банк Південний,,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Банк «Південний» — один із лідерів фінансового ринку України, який займає третє місце у групі українських банків із приватним капіталом за розміром активів.  Вже 32 роки «Південний» є надійним фінансовим партнером…",False,https://www.work.ua/jobs/7799343/
7718943,Insight Manager,Кондитерська Корпорація ROSHEN,70 000 – 85 000 грн,"Повна зайнятість. Досвід роботи від 5 років. Вища освіта.
                            ROSHEN шукає Insight Manager (того самого, який вміє перетворювати дані й дослідження на інсайти, а не на презентації «для галочки») ROSHEN — це бренд, який знають і люблять мільйони. А ще — це складні ринки, великі…",False,https://www.work.ua/jobs/7718943/
7554049,OSINT-аналітик,6 центр рекрутингу Сил безпілотних систем,50 000 грн,"Повна зайнятість. Досвід роботи від 1 року.
                            429-й окремий полк безпілотних систем «Ахіллес» виконує завдання на передовій, використовуючи безпілотні технології для аеророзвідки та вогневого ураження противника. Для розвитку власних систем керування й розширення…",False,https://www.work.ua/jobs/7554049/
7799277,Консультант з трансфертного ціноутворення,PwC Service Delivery Center,,"Повна зайнятість. Також готові взяти студента.
                            Твій старт із PwC Lviv SDC: Вакансія, яка відкриває двері у майбутнєPwC — це глобальна мережа із більш, ніж 370 000 професіоналів у 151 країні, яка перетворює виклики на можливості. Ми створюємо інноваційні рішення…",False,https://www.work.ua/jobs/7799277/
7740783,Тимлід (аналітика клієнтського досвіду),Rozetka,,"Повна зайнятість. Досвід роботи від 5 років.
                            Найпопулярнішому інтернет-магазину Rozetka.ua потрібен «Тімлід напряму аналітики клієнтського досвіду (Customer Experience Analytics Team Lead)» ROZETKA — найбільший онлайн-ритейлер та один із найтехнологічніший…",False,https://www.work.ua/jobs/7740783/
7309585,Дата-аналітик,6 центр рекрутингу Сил безпілотних систем,50 000 грн,"Повна зайнятість. Досвід роботи від 1 року.
                            Батальйон безпілотних систем «Цукрарня Птахів Мадяра» — це високотехнологічний батальйон у складі 414 окремої бригади безпілотних систем «Птахи Мадяра», який спеціалізується на забезпеченні підрозділів СБС ефективними…",False,https://www.work.ua/jobs/7309585/
7569643,Офіцер інформаційно-аналітичної групи командного пункту (s-3),46 ОАеМБр ДШВ,28 000 – 80 000 грн,"Повна зайнятість.
                            Вимоги:    наявність офіцерського звання;   бажання працювати в інтересах військової частини;   здатність поєднувати виконання щоденних операційних та творчих завдань із системним підходом;   уважність до деталей,…",False,https://www.work.ua/jobs/7569643/
7740537,Фінансовий аналітик,NDA Recruitment,,"Повна зайнятість. Досвід роботи від 2 років.
                            Компанія, що працює у сфері складних технологічних проєктів, шукає фінансового менеджера для підтримки програмного фінансового напрямку. Роль передбачає активну участь у бюджетуванні, аналізі відхилень та роботі…",False,https://www.work.ua/jobs/7740537/
7762767,Старший фінансовий аналітик,NDA Recruitment,,"Повна зайнятість. Досвід роботи від 2 років.
                            Компанія шукає досвідченого старшого фінансового аналітика, який посилить напрям фінансового планування та контролю. Роль передбачає активну участь у формуванні управлінської звітності, аналізі показників та підтримці…",False,https://www.work.ua/jobs/7762767/
7199572,Провідний експерт з продажів та кредитування малого та середнього бізнесу,"Креді Агріколь, банк",,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            АТ «КРЕДІ АГРІКОЛЬ БАНК» оголошує конкурс на посаду Провідного експерта з продажів та кредитування малого та середнього бізнесу департаменту середнього корпоративного бізнесу та МСБ (з робочим місцем в м. Суми (вул…",False,https://www.work.ua/jobs/7199572/
7744146,Фінансовий аналітик (junior),"Ре-Лінк, ТОВ",40 000 – 45 000 грн,"Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року. Вища освіта.
                            Про насУкраїнська компанія (NDA) — виробник високотехнологічних акумуляторних батарей для оборонної промисловості. Компанія спеціалізується на розробці та виробництві енергоефективних рішень для FPV-дронів, БпЛА…",False,https://www.work.ua/jobs/7744146/
7333237,Аналітик системи РЕР,"Рейд, 17 Полтавська бригада НГУ",25 000 – 125 000 грн,"Повна зайнятість. Досвід роботи від 1 року. Середня спеціальна освіта.
                            Основні обов’язки:   збір, систематизація та аналіз сигналів, перехоплень та інших даних, отриманих із засобів РЕР   робота з профільним програмним забезпеченням та технічними засобами РЕР   моніторинг радіоефіру,…",False,https://www.work.ua/jobs/7333237/
7689907,Спеціаліст з маркетингових досліджень,АТБ-маркет,,"Повна зайнятість. Досвід роботи від 1 року.
                            Національна торговельна мережа магазинів «АТБ-маркет» взапрошує на роботу Спеціаліст з маркетингових досліджень Вимоги:   базова або повна вища (спеціальності Маркетинг, Економіка);   бажано досвід роботи у сфері…",False,https://www.work.ua/jobs/7689907/
7651093,Junior Data Reporting Engineer,Nix,,"Повна зайнятість.
                            ЩО ТОБІ ЗНАДОБИТЬСЯ:  Вміння читати, розуміти та підтримувати складні SQL-запити (PostgreSQL). Тебе не повинні лякати вкладені запити (nested selects) або джойни (joins).   Базові знання C# (або схожої C-style мови)…",False,https://www.work.ua/jobs/7651093/
7772097,"Partner, Market Development Manager",Davintoo Ukraina,,"Повна зайнятість. Досвід роботи від 1 року.
                            LMS Collaborator is a multifunctional platform for adaptation, training, certification, and development of company personnel with flexible integration capabilities. It has been successfully operating in the Ukrainian…",False,https://www.work.ua/jobs/7772097/
